"Município";"Pib"
"Breves (PA)";"893933"
"Bujaru (PA)";"536730"
"Cachoeira do Piriá (PA)";"227634"
"Cachoeira do Arari (PA)";"255830"
"Cametá (PA)";"1393690"
"Canaã dos Carajás (PA)";"34989610"
"Capanema (PA)";"1427144"
"Capitão Poço (PA)";"615773"
"Castanhal (PA)";"4709312"
"Chaves (PA)";"248270"
"Colares (PA)";"100969"
"Conceição do Araguaia (PA)";"662825"
"Concórdia do Pará (PA)";"420236"
"Cumaru do Norte (PA)";"406927"
"Curionópolis (PA)";"3667341"
"Curralinho (PA)";"282512"
"Curuá (PA)";"149717"
"Curuçá (PA)";"369777"
"Dom Eliseu (PA)";"940611"
"Eldorado do Carajás (PA)";"556042"
"Faro (PA)";"76730"
"Floresta do Araguaia (PA)";"602623"
"Garrafão do Norte (PA)";"276033"
"Goianésia do Pará (PA)";"506638"
"Gurupá (PA)";"334287"
"Igarapé-Açu (PA)";"415894"
"Igarapé-Miri (PA)";"691233"
"Inhangapi (PA)";"174628"
"Ipixuna do Pará (PA)";"625213"
"Irituia (PA)";"278006"
"Itaituba (PA)";"3078558"
"Itupiranga (PA)";"841956"
"Jacareacanga (PA)";"625760"
"Jacundá (PA)";"615695"
"Juruti (PA)";"1451756"
"Limoeiro do Ajuru (PA)";"503051"
"Mãe do Rio (PA)";"340311"
"Magalhães Barata (PA)";"98432"
"Marabá (PA)";"13523145"
"Maracanã (PA)";"289997"
"Marapanim (PA)";"263657"
"Marituba (PA)";"2578541"
"Medicilândia (PA)";"1023972"
"Melgaço (PA)";"216855"
"Mocajuba (PA)";"452082"
"Moju (PA)";"1348481"
"Mojuí dos Campos (PA)";"288644"
"Monte Alegre (PA)";"807340"
"Muaná (PA)";"338764"
"Nova Esperança do Piriá (PA)";"350842"
"Nova Ipixuna (PA)";"192605"
"Nova Timboteua (PA)";"147491"
"Novo Progresso (PA)";"971539"
"Novo Repartimento (PA)";"1117034"
"Óbidos (PA)";"965930"
"Oeiras do Pará (PA)";"419077"
"Oriximiná (PA)";"2278575"
"Ourém (PA)";"200629"
"Ourilândia do Norte (PA)";"1302429"
"Pacajá (PA)";"867605"
"Palestina do Pará (PA)";"98769"
"Paragominas (PA)";"4280508"
"Parauapebas (PA)";"49763040"
"Pau D'Arco (PA)";"114870"
"Peixe-Boi (PA)";"72327"
"Piçarra (PA)";"292755"
"Placas (PA)";"323263"
"Ponta de Pedras (PA)";"275230"
"Portel (PA)";"945733"
"Porto de Moz (PA)";"404677"
"Prainha (PA)";"442969"
"Primavera (PA)";"321726"
"Quatipuru (PA)";"120882"
"Redenção (PA)";"2552479"
"Rio Maria (PA)";"601872"
"Rondon do Pará (PA)";"734050"
"Rurópolis (PA)";"496837"
"Salinópolis (PA)";"641901"
"Salvaterra (PA)";"210371"
"Santa Bárbara do Pará (PA)";"240524"
"Santa Cruz do Arari (PA)";"96043"
"Santa Izabel do Pará (PA)";"935129"
"Santa Luzia do Pará (PA)";"196168"
"Santa Maria das Barreiras (PA)";"1072244"
"Santa Maria do Pará (PA)";"371642"
"Santana do Araguaia (PA)";"1381972"
"Santarém (PA)";"6390528"
"Santarém Novo (PA)";"60065"
"Santo Antônio do Tauá (PA)";"475569"
"São Caetano de Odivelas (PA)";"183191"
"São Domingos do Araguaia (PA)";"359021"
"São Domingos do Capim (PA)";"438410"
"São Félix do Xingu (PA)";"2009122"
"São Francisco do Pará (PA)";"264374"
"São Geraldo do Araguaia (PA)";"710684"
