"Município";"Pib"
"Fronteiras (PI)";"112454"
"Geminiano (PI)";"59253"
"Gilbués (PI)";"416894"
"Guadalupe (PI)";"637192"
"Guaribas (PI)";"45099"
"Hugo Napoleão (PI)";"34066"
"Ilha Grande (PI)";"119725"
"Inhuma (PI)";"163624"
"Ipiranga do Piauí (PI)";"82417"
"Isaías Coelho (PI)";"80798"
"Itainópolis (PI)";"108192"
"Itaueira (PI)";"131853"
"Jacobina do Piauí (PI)";"69064"
"Jaicós (PI)";"191771"
"Jardim do Mulato (PI)";"39632"
"Jatobá do Piauí (PI)";"58747"
"Jerumenha (PI)";"63528"
"João Costa (PI)";"69289"
"Joaquim Pires (PI)";"118894"
"Joca Marques (PI)";"46226"
"José de Freitas (PI)";"390718"
"Juazeiro do Piauí (PI)";"56058"
"Júlio Borges (PI)";"80794"
"Jurema (PI)";"43566"
"Lagoinha do Piauí (PI)";"40519"
"Lagoa Alegre (PI)";"77314"
"Lagoa do Barro do Piauí (PI)";"534683"
"Lagoa de São Francisco (PI)";"54980"
"Lagoa do Piauí (PI)";"75615"
"Lagoa do Sítio (PI)";"48595"
"Landri Sales (PI)";"109799"
"Luís Correia (PI)";"378697"
"Luzilândia (PI)";"241221"
"Madeiro (PI)";"75141"
"Manoel Emídio (PI)";"54807"
"Marcolândia (PI)";"198352"
"Marcos Parente (PI)";"54884"
"Massapê do Piauí (PI)";"52130"
"Matias Olímpio (PI)";"95555"
"Miguel Alves (PI)";"312819"
"Miguel Leão (PI)";"23604"
"Milton Brandão (PI)";"53563"
"Monsenhor Gil (PI)";"127469"
"Monsenhor Hipólito (PI)";"72882"
"Monte Alegre do Piauí (PI)";"298089"
"Morro Cabeça no Tempo (PI)";"39152"
"Morro do Chapéu do Piauí (PI)";"62450"
"Murici dos Portelas (PI)";"74909"
"Nazaré do Piauí (PI)";"67046"
"Nazária (PI)";"94817"
"Nossa Senhora de Nazaré (PI)";"47885"
"Nossa Senhora dos Remédios (PI)";"78547"
"Novo Oriente do Piauí (PI)";"58172"
"Novo Santo Antônio (PI)";"31237"
"Oeiras (PI)";"584373"
"Olho D'Água do Piauí (PI)";"28731"
"Padre Marcos (PI)";"73909"
"Paes Landim (PI)";"44249"
"Pajeú do Piauí (PI)";"52581"
"Palmeira do Piauí (PI)";"141457"
"Palmeirais (PI)";"138692"
"Paquetá (PI)";"44237"
"Parnaguá (PI)";"119215"
"Parnaíba (PI)";"2968947"
"Passagem Franca do Piauí (PI)";"48758"
"Patos do Piauí (PI)";"64629"
"Pau D'Arco do Piauí (PI)";"33612"
"Paulistana (PI)";"267709"
"Pavussu (PI)";"37693"
"Pedro II (PI)";"386275"
"Pedro Laurentino (PI)";"31322"
"Nova Santa Rita (PI)";"43931"
"Picos (PI)";"1940259"
"Pimenteiras (PI)";"106973"
"Pio IX (PI)";"202627"
"Piracuruca (PI)";"363522"
"Piripiri (PI)";"916771"
"Porto (PI)";"118547"
"Porto Alegre do Piauí (PI)";"39212"
"Prata do Piauí (PI)";"27584"
"Queimada Nova (PI)";"253485"
"Redenção do Gurguéia (PI)";"97930"
"Regeneração (PI)";"264514"
"Riacho Frio (PI)";"46279"
"Ribeira do Piauí (PI)";"217390"
"Ribeiro Gonçalves (PI)";"695855"
"Rio Grande do Piauí (PI)";"61491"
"Santa Cruz do Piauí (PI)";"61011"
"Santa Cruz dos Milagres (PI)";"45472"
"Santa Filomena (PI)";"615987"
"Santa Luz (PI)";"62480"
"Santana do Piauí (PI)";"40807"
"Santa Rosa do Piauí (PI)";"50228"
"Santo Antônio de Lisboa (PI)";"71849"
"Santo Antônio dos Milagres (PI)";"18051"
"Santo Inácio do Piauí (PI)";"40377"
"São Braz do Piauí (PI)";"39471"
"São Félix do Piauí (PI)";"32116"
"São Francisco de Assis do Piauí (PI)";"55545"
"São Francisco do Piauí (PI)";"58406"
"São Gonçalo do Gurguéia (PI)";"54607"
"São Gonçalo do Piauí (PI)";"56735"
"São João da Canabrava (PI)";"49321"
"São João da Fronteira (PI)";"60925"
"São João da Serra (PI)";"59723"
"São João da Varjota (PI)";"36648"
"São João do Arraial (PI)";"68235"
"São João do Piauí (PI)";"426951"
"São José do Divino (PI)";"63753"
"São José do Peixe (PI)";"42836"
"São José do Piauí (PI)";"68075"
"São Julião (PI)";"59534"
"São Lourenço do Piauí (PI)";"45315"
"São Luis do Piauí (PI)";"25332"
"São Miguel da Baixa Grande (PI)";"27272"
"São Miguel do Fidalgo (PI)";"47464"
"São Miguel do Tapuio (PI)";"163378"
"São Pedro do Piauí (PI)";"134821"
"São Raimundo Nonato (PI)";"566178"
"Sebastião Barros (PI)";"46712"
"Sebastião Leal (PI)";"255415"
"Sigefredo Pacheco (PI)";"78161"
"Simões (PI)";"434444"
"Simplício Mendes (PI)";"182823"
"Socorro do Piauí (PI)";"41067"
"Sussuapara (PI)";"76888"
"Tamboril do Piauí (PI)";"30388"
"Tanque do Piauí (PI)";"33181"
"Teresina (PI)";"23895231"
"União (PI)";"420316"
"Uruçuí (PI)";"2815208"
"Valença do Piauí (PI)";"289656"
"Várzea Branca (PI)";"44540"
"Várzea Grande (PI)";"40995"
"Vera Mendes (PI)";"31077"
"Vila Nova do Piauí (PI)";"37035"
"Wall Ferraz (PI)";"38008"
"Abaiara (CE)";"117971"
"Acarape (CE)";"179994"
"Acaraú (CE)";"1020201"
"Acopiara (CE)";"564520"
"Aiuaba (CE)";"151596"
"Alcântaras (CE)";"98202"
"Altaneira (CE)";"74654"
"Alto Santo (CE)";"232268"
"Amontada (CE)";"665472"
"Antonina do Norte (CE)";"78953"
"Apuiarés (CE)";"120978"
"Aquiraz (CE)";"3854310"
"Aracati (CE)";"1706691"
"Aracoiaba (CE)";"266422"
"Ararendá (CE)";"106784"
"Araripe (CE)";"207982"
"Aratuba (CE)";"151645"
"Arneiroz (CE)";"70224"
"Assaré (CE)";"237259"
"Aurora (CE)";"216792"
"Baixio (CE)";"67541"
"Banabuiú (CE)";"260031"
"Barbalha (CE)";"1345205"
"Barreira (CE)";"240016"
"Barro (CE)";"242027"
"Barroquinha (CE)";"133335"
"Baturité (CE)";"448272"
"Beberibe (CE)";"1059006"
"Bela Cruz (CE)";"322244"
"Boa Viagem (CE)";"539218"
"Brejo Santo (CE)";"817034"
"Camocim (CE)";"839500"
"Campos Sales (CE)";"292357"
"Canindé (CE)";"911356"
"Capistrano (CE)";"176809"
"Caridade (CE)";"186169"
"Cariré (CE)";"193105"
"Caririaçu (CE)";"253127"
"Cariús (CE)";"180984"
"Carnaubal (CE)";"166772"
"Cascavel (CE)";"1074377"
"Catarina (CE)";"154108"
"Catunda (CE)";"112081"
"Caucaia (CE)";"10414373"
"Cedro (CE)";"247325"
"Chaval (CE)";"110318"
"Choró (CE)";"178989"
"Chorozinho (CE)";"260273"
"Coreaú (CE)";"225090"
"Crateús (CE)";"952649"
"Crato (CE)";"1871587"
"Croatá (CE)";"224437"
"Cruz (CE)";"372662"
"Deputado Irapuan Pinheiro (CE)";"100883"
"Ereré (CE)";"80690"
"Eusébio (CE)";"3577747"
"Farias Brito (CE)";"202248"
"Forquilha (CE)";"304957"
"Fortaleza (CE)";"73436128"
"Fortim (CE)";"312460"
"Frecheirinha (CE)";"275921"
"General Sampaio (CE)";"86963"
"Graça (CE)";"129711"
"Granja (CE)";"469407"
"Granjeiro (CE)";"51337"
"Groaíras (CE)";"110755"
"Guaiúba (CE)";"231993"
"Guaraciaba do Norte (CE)";"669209"
"Guaramiranga (CE)";"80396"
"Hidrolândia (CE)";"185025"
"Horizonte (CE)";"2117193"
"Ibaretama (CE)";"132265"
"Ibiapina (CE)";"348540"
"Ibicuitinga (CE)";"124951"
"Icapuí (CE)";"411021"
"Icó (CE)";"737489"
"Iguatu (CE)";"1904815"
"Independência (CE)";"306809"
"Ipaporanga (CE)";"114127"
"Ipaumirim (CE)";"143451"
"Ipu (CE)";"519845"
"Ipueiras (CE)";"328115"
"Iracema (CE)";"195282"
"Irauçuba (CE)";"220294"
"Itaiçaba (CE)";"82855"
"Itaitinga (CE)";"1258826"
"Itapajé (CE)";"594581"
"Itapipoca (CE)";"1784007"
"Itapiúna (CE)";"170314"
"Itarema (CE)";"766786"
"Itatira (CE)";"174029"
"Jaguaretama (CE)";"226644"
"Jaguaribara (CE)";"154002"
"Jaguaribe (CE)";"561175"
"Jaguaruana (CE)";"566961"
"Jardim (CE)";"294154"
"Jati (CE)";"129729"
"Jijoca de Jericoacoara (CE)";"551638"
"Juazeiro do Norte (CE)";"5114793"
"Jucás (CE)";"319373"
"Lavras da Mangabeira (CE)";"343304"
"Limoeiro do Norte (CE)";"1423366"
"Madalena (CE)";"174831"
"Maracanaú (CE)";"12337017"
"Maranguape (CE)";"1649528"
"Marco (CE)";"390969"
"Martinópole (CE)";"96327"
"Massapê (CE)";"378718"
"Mauriti (CE)";"517496"
"Meruoca (CE)";"129293"
"Milagres (CE)";"287223"
"Milhã (CE)";"195290"
"Miraíma (CE)";"112599"
"Missão Velha (CE)";"515937"
"Mombaça (CE)";"446847"
"Monsenhor Tabosa (CE)";"160699"
"Morada Nova (CE)";"1276864"
"Moraújo (CE)";"75575"
"Morrinhos (CE)";"193204"
"Mucambo (CE)";"131292"
"Mulungu (CE)";"123801"
"Nova Olinda (CE)";"163381"
"Nova Russas (CE)";"336930"
"Novo Oriente (CE)";"283185"
"Ocara (CE)";"284836"
"Orós (CE)";"218899"
"Pacajus (CE)";"1360520"
"Pacatuba (CE)";"1235158"
"Pacoti (CE)";"148366"
"Pacujá (CE)";"59940"
"Palhano (CE)";"98773"
"Palmácia (CE)";"115124"
"Paracuru (CE)";"555931"
"Paraipaba (CE)";"535129"
"Parambu (CE)";"288689"
"Paramoti (CE)";"110908"
"Pedra Branca (CE)";"389914"
"Penaforte (CE)";"122162"
"Pentecoste (CE)";"484760"
"Pereiro (CE)";"560571"
"Pindoretama (CE)";"274852"
"Piquet Carneiro (CE)";"162092"
"Pires Ferreira (CE)";"84230"
"Poranga (CE)";"109402"
"Porteiras (CE)";"186375"
"Potengi (CE)";"110570"
"Potiretama (CE)";"96816"
"Quiterianópolis (CE)";"184720"
"Quixadá (CE)";"1109869"
"Quixelô (CE)";"198820"
"Quixeramobim (CE)";"1402461"
"Quixeré (CE)";"637015"
"Redenção (CE)";"409867"
"Reriutaba (CE)";"190710"
"Russas (CE)";"1158523"
"Saboeiro (CE)";"169856"
"Salitre (CE)";"159284"
"Santana do Acaraú (CE)";"280072"
"Santana do Cariri (CE)";"159277"
"Santa Quitéria (CE)";"633710"
"São Benedito (CE)";"627180"
"São Gonçalo do Amarante (CE)";"8633637"
"São João do Jaguaribe (CE)";"107898"
"São Luís do Curu (CE)";"133109"
"Senador Pompeu (CE)";"352272"
"Senador Sá (CE)";"62766"
"Sobral (CE)";"5395130"
"Solonópole (CE)";"303284"
"Tabuleiro do Norte (CE)";"450593"
"Tamboril (CE)";"282247"
"Tarrafas (CE)";"85682"
"Tauá (CE)";"711836"
"Tejuçuoca (CE)";"136988"
"Tianguá (CE)";"1732690"
"Trairi (CE)";"1115144"
"Tururu (CE)";"138079"
"Ubajara (CE)";"642046"
"Umari (CE)";"69441"
"Umirim (CE)";"172797"
"Uruburetama (CE)";"299474"
"Uruoca (CE)";"298207"
"Varjota (CE)";"375819"
"Várzea Alegre (CE)";"468101"
"Viçosa do Ceará (CE)";"603321"
"Acari (RN)";"141994"
"Açu (RN)";"1467571"
"Afonso Bezerra (RN)";"138265"
"Água Nova (RN)";"34553"
"Alexandria (RN)";"150790"
"Almino Afonso (RN)";"50062"
"Alto do Rodrigues (RN)";"616327"
"Angicos (RN)";"180166"
"Antônio Martins (RN)";"65526"
"Apodi (RN)";"709591"
"Areia Branca (RN)";"935974"
"Arês (RN)";"386634"
"Campo Grande (RN)";"105356"
"Baía Formosa (RN)";"325032"
"Baraúna (RN)";"746402"
"Barcelona (RN)";"45865"
"Bento Fernandes (RN)";"88430"
"Bodó (RN)";"286575"
"Bom Jesus (RN)";"109338"
"Brejinho (RN)";"139466"
"Caiçara do Norte (RN)";"112178"
"Caiçara do Rio do Vento (RN)";"60457"
"Caicó (RN)";"1394849"
"Campo Redondo (RN)";"106968"
"Canguaretama (RN)";"605678"
"Caraúbas (RN)";"373661"
"Carnaúba dos Dantas (RN)";"118373"
"Carnaubais (RN)";"210950"
"Ceará-Mirim (RN)";"1002205"
"Cerro Corá (RN)";"140412"
"Coronel Ezequiel (RN)";"52507"
"Coronel João Pessoa (RN)";"48167"
"Cruzeta (RN)";"123142"
"Currais Novos (RN)";"804231"
"Doutor Severiano (RN)";"78557"
"Parnamirim (RN)";"6845403"
"Encanto (RN)";"62293"
"Equador (RN)";"81977"
"Espírito Santo (RN)";"97586"
"Extremoz (RN)";"570425"
"Felipe Guerra (RN)";"173827"
"Fernando Pedroza (RN)";"39070"
"Florânia (RN)";"120493"
"Francisco Dantas (RN)";"32759"
"Frutuoso Gomes (RN)";"44912"
"Galinhos (RN)";"162617"
"Goianinha (RN)";"546576"
"Governador Dix-Sept Rosado (RN)";"386262"
"Grossos (RN)";"158310"
"Guamaré (RN)";"2042144"
"Ielmo Marinho (RN)";"140721"
"Ipanguaçu (RN)";"196501"
"Ipueira (RN)";"34930"
"Itajá (RN)";"99445"
"Itaú (RN)";"73782"
"Jaçanã (RN)";"86390"
"Jandaíra (RN)";"101431"
"Janduís (RN)";"84499"
"Januário Cicco (RN)";"84900"
"Japi (RN)";"51548"
"Jardim de Angicos (RN)";"64392"
"Jardim de Piranhas (RN)";"213316"
"Jardim do Seridó (RN)";"207993"
"João Câmara (RN)";"1269841"
"João Dias (RN)";"27991"
"José da Penha (RN)";"67415"
"Jucurutu (RN)";"315841"
"Jundiá (RN)";"42148"
"Lagoa d'Anta (RN)";"70839"
"Lagoa de Pedras (RN)";"81382"
"Lagoa de Velhos (RN)";"38242"
"Lagoa Nova (RN)";"269036"
"Lagoa Salgada (RN)";"94313"
"Lajes (RN)";"165930"
"Lajes Pintadas (RN)";"51595"
"Lucrécia (RN)";"51510"
"Luís Gomes (RN)";"87827"
"Macaíba (RN)";"1828152"
"Macau (RN)";"1111123"
"Major Sales (RN)";"48004"
"Marcelino Vieira (RN)";"82890"
"Martins (RN)";"108195"
"Maxaranguape (RN)";"134894"
"Messias Targino (RN)";"55530"
"Montanhas (RN)";"130284"
"Monte Alegre (RN)";"271456"
"Monte das Gameleiras (RN)";"32367"
"Mossoró (RN)";"8071762"
"Natal (RN)";"24186262"
"Nísia Floresta (RN)";"474722"
"Nova Cruz (RN)";"560501"
"Olho d'Água do Borges (RN)";"47533"
"Ouro Branco (RN)";"61704"
"Paraná (RN)";"43932"
"Paraú (RN)";"55258"
"Parazinho (RN)";"606241"
"Parelhas (RN)";"368927"
"Rio do Fogo (RN)";"185593"
"Passa e Fica (RN)";"152324"
"Passagem (RN)";"46129"
"Patu (RN)";"160914"
"Santa Maria (RN)";"78032"
"Pau dos Ferros (RN)";"709333"
"Pedra Grande (RN)";"293285"
"Pedra Preta (RN)";"36128"
"Pedro Avelino (RN)";"79996"
"Pedro Velho (RN)";"173619"
"Pendências (RN)";"757494"
"Pilões (RN)";"41829"
"Poço Branco (RN)";"131862"
"Portalegre (RN)";"78934"
"Porto do Mangue (RN)";"149473"
"Serra Caiada (RN)";"109308"
"Pureza (RN)";"169430"
"Rafael Fernandes (RN)";"53271"
"Rafael Godeiro (RN)";"43451"
"Riacho da Cruz (RN)";"37508"
"Riacho de Santana (RN)";"43514"
"Riachuelo (RN)";"192158"
"Rodolfo Fernandes (RN)";"59194"
"Tibau (RN)";"115024"
"Ruy Barbosa (RN)";"126773"
"Santa Cruz (RN)";"619042"
"Santana do Matos (RN)";"147040"
"Santana do Seridó (RN)";"36354"
"Santo Antônio (RN)";"302537"
"São Bento do Norte (RN)";"549243"
"São Bento do Trairí (RN)";"45624"
"São Fernando (RN)";"63598"
"São Francisco do Oeste (RN)";"54448"
"São Gonçalo do Amarante (RN)";"1905023"
"São João do Sabugi (RN)";"84586"
"São José de Mipibu (RN)";"1040964"
"São José do Campestre (RN)";"125093"
"São José do Seridó (RN)";"83855"
"São Miguel (RN)";"319744"
"São Miguel do Gostoso (RN)";"492640"
"São Paulo do Potengi (RN)";"231555"
"São Pedro (RN)";"55801"
"São Rafael (RN)";"88676"
"São Tomé (RN)";"111776"
"São Vicente (RN)";"76922"
"Senador Elói de Souza (RN)";"60476"
"Senador Georgino Avelino (RN)";"116487"
"Serra de São Bento (RN)";"57411"
"Serra do Mel (RN)";"858724"
"Serra Negra do Norte (RN)";"118876"
"Serrinha (RN)";"71899"
"Serrinha dos Pintos (RN)";"49787"
"Severiano Melo (RN)";"63100"
"Sítio Novo (RN)";"53784"
"Taboleiro Grande (RN)";"32473"
"Taipu (RN)";"155199"
"Tangará (RN)";"201785"
"Tenente Ananias (RN)";"113588"
"Tenente Laurentino Cruz (RN)";"107286"
"Tibau do Sul (RN)";"415833"
"Timbaúba dos Batistas (RN)";"43618"
"Touros (RN)";"814845"
"Triunfo Potiguar (RN)";"45831"
"Umarizal (RN)";"151207"
"Upanema (RN)";"214155"
"Várzea (RN)";"56556"
"Venha-Ver (RN)";"43203"
"Vera Cruz (RN)";"133471"
"Viçosa (RN)";"23239"
"Vila Flor (RN)";"44404"
"Água Branca (PB)";"92036"
"Aguiar (PB)";"60096"
"Alagoa Grande (PB)";"300116"
"Alagoa Nova (PB)";"335056"
"Alagoinha (PB)";"138510"
"Alcantil (PB)";"55097"
"Algodão de Jandaíra (PB)";"28629"
"Alhandra (PB)";"3399775"
"São João do Rio do Peixe (PB)";"225531"
"Amparo (PB)";"29433"
"Aparecida (PB)";"105226"
"Araçagi (PB)";"185877"
"Arara (PB)";"112308"
"Araruna (PB)";"204298"
"Areia (PB)";"257222"
"Areia de Baraúnas (PB)";"26095"
"Areial (PB)";"62578"
"Aroeiras (PB)";"167985"
"Assunção (PB)";"48498"
"Baía da Traição (PB)";"107854"
"Bananeiras (PB)";"278904"
"Baraúna (PB)";"49784"
"Barra de Santana (PB)";"90801"
"Barra de Santa Rosa (PB)";"150845"
"Barra de São Miguel (PB)";"84815"
"Bayeux (PB)";"1366842"
"Belém (PB)";"218067"
"Belém do Brejo do Cruz (PB)";"78557"
"Bernardino Batista (PB)";"40037"
"Boa Ventura (PB)";"51615"
"Boa Vista (PB)";"206387"
"Bom Jesus (PB)";"32051"
"Bom Sucesso (PB)";"54513"
"Bonito de Santa Fé (PB)";"96549"
"Boqueirão (PB)";"256636"
"Igaracy (PB)";"60774"
"Borborema (PB)";"69205"
"Brejo do Cruz (PB)";"147154"
"Brejo dos Santos (PB)";"64311"
"Caaporã (PB)";"467127"
"Cabaceiras (PB)";"116487"
"Cabedelo (PB)";"3152546"
"Cachoeira dos Índios (PB)";"124811"
"Cacimba de Areia (PB)";"39106"
"Cacimba de Dentro (PB)";"154036"
"Cacimbas (PB)";"67103"
"Caiçara (PB)";"65661"
"Cajazeiras (PB)";"1231740"
"Cajazeirinhas (PB)";"42009"
"Caldas Brandão (PB)";"74706"
"Camalaú (PB)";"71642"
"Campina Grande (PB)";"10373107"
"Capim (PB)";"75638"
"Caraúbas (PB)";"42197"
"Carrapateira (PB)";"30950"
"Casserengue (PB)";"70018"
"Catingueira (PB)";"52899"
"Catolé do Rocha (PB)";"505607"
"Caturité (PB)";"61665"
"Conceição (PB)";"209010"
"Condado (PB)";"90373"
"Conde (PB)";"1286990"
"Congo (PB)";"61704"
"Coremas (PB)";"249601"
"Coxixola (PB)";"24017"
"Cruz do Espírito Santo (PB)";"191194"
"Cubati (PB)";"76814"
"Cuité (PB)";"220439"
"Cuitegi (PB)";"66742"
"Cuité de Mamanguape (PB)";"74110"
"Curral de Cima (PB)";"55526"
"Curral Velho (PB)";"26783"
"Damião (PB)";"50276"
"Desterro (PB)";"72715"
"Vista Serrana (PB)";"39390"
"Diamante (PB)";"59345"
"Dona Inês (PB)";"93830"
"Duas Estradas (PB)";"45025"
"Emas (PB)";"41639"
"Esperança (PB)";"507256"
"Fagundes (PB)";"105312"
"Frei Martinho (PB)";"30264"
"Gado Bravo (PB)";"76211"
"Guarabira (PB)";"1790168"
"Gurinhém (PB)";"150970"
"Gurjão (PB)";"38324"
"Ibiara (PB)";"57772"
"Imaculada (PB)";"98314"
"Ingá (PB)";"194961"
"Itabaiana (PB)";"335812"
"Itaporanga (PB)";"341235"
"Itapororoca (PB)";"206433"
"Itatuba (PB)";"155216"
"Jacaraú (PB)";"165130"
"Jericó (PB)";"76303"
"João Pessoa (PB)";"22244284"
"Juarez Távora (PB)";"73121"
"Juazeirinho (PB)";"210329"
"Junco do Seridó (PB)";"96602"
"Juripiranga (PB)";"117363"
"Juru (PB)";"87266"
"Lagoa (PB)";"51232"
"Lagoa de Dentro (PB)";"83537"
"Lagoa Seca (PB)";"309763"
"Lastro (PB)";"29495"
"Livramento (PB)";"70043"
"Logradouro (PB)";"48651"
"Lucena (PB)";"223066"
"Mãe d'Água (PB)";"38604"
"Malta (PB)";"79659"
"Mamanguape (PB)";"805007"
"Manaíra (PB)";"101428"
"Marcação (PB)";"95670"
"Mari (PB)";"241807"
"Marizópolis (PB)";"81944"
"Massaranduba (PB)";"130381"
"Mataraca (PB)";"240531"
"Matinhas (PB)";"54035"
"Mato Grosso (PB)";"31801"
"Maturéia (PB)";"61811"
"Mogeiro (PB)";"164372"
"Montadas (PB)";"55245"
"Monte Horebe (PB)";"48074"
"Monteiro (PB)";"635380"
"Mulungu (PB)";"98150"
"Natuba (PB)";"95465"
"Nazarezinho (PB)";"65965"
"Nova Floresta (PB)";"99606"
"Nova Olinda (PB)";"57802"
"Nova Palmeira (PB)";"48983"
"Olho d'Água (PB)";"61851"
"Olivedos (PB)";"43585"
"Ouro Velho (PB)";"38279"
"Parari (PB)";"21495"
"Passagem (PB)";"28860"
"Patos (PB)";"1993586"
"Paulista (PB)";"157014"
"Pedra Branca (PB)";"37463"
"Pedra Lavrada (PB)";"80075"
"Pedras de Fogo (PB)";"556476"
"Piancó (PB)";"206302"
"Picuí (PB)";"213192"
"Pilar (PB)";"121700"
"Pilões (PB)";"95436"
"Pilõezinhos (PB)";"51216"
"Pirpirituba (PB)";"95103"
"Pitimbu (PB)";"430316"
"Pocinhos (PB)";"284640"
"Poço Dantas (PB)";"40230"
"Poço de José de Moura (PB)";"46792"
"Pombal (PB)";"465068"
"Prata (PB)";"64688"
"Princesa Isabel (PB)";"266345"
"Puxinanã (PB)";"137837"
"Queimadas (PB)";"605759"
"Quixaba (PB)";"26746"
"Remígio (PB)";"181360"
"Pedro Régis (PB)";"57186"
"Riachão (PB)";"36492"
"Riachão do Bacamarte (PB)";"50101"
"Riachão do Poço (PB)";"56187"
"Riacho de Santo Antônio (PB)";"30562"
"Riacho dos Cavalos (PB)";"92585"
"Rio Tinto (PB)";"321971"
"Salgadinho (PB)";"33444"
"Salgado de São Félix (PB)";"128636"
"Santa Cecília (PB)";"65649"
"Santa Cruz (PB)";"62114"
"Santa Helena (PB)";"62162"
"Santa Inês (PB)";"36756"
"Santa Luzia (PB)";"372292"
"Santana de Mangueira (PB)";"51046"
"Santana dos Garrotes (PB)";"67142"
"Joca Claudino (PB)";"33004"
"Santa Rita (PB)";"2616825"
"Santa Teresinha (PB)";"57191"
"Santo André (PB)";"29350"
"São Bento (PB)";"567017"
"São Bentinho (PB)";"55030"
"São Domingos do Cariri (PB)";"28699"
"São Domingos (PB)";"36167"
"São Francisco (PB)";"39118"
"São João do Cariri (PB)";"55295"
"São João do Tigre (PB)";"40920"
"São José da Lagoa Tapada (PB)";"71954"
"São José de Caiana (PB)";"55614"
"São José de Espinharas (PB)";"54850"
"São José dos Ramos (PB)";"86595"
"São José de Piranhas (PB)";"230383"
"São José de Princesa (PB)";"34031"
"São José do Bonfim (PB)";"32366"
"São José do Brejo do Cruz (PB)";"29091"
"São José do Sabugi (PB)";"125142"
"São José dos Cordeiros (PB)";"36927"
"São Mamede (PB)";"82238"
"São Miguel de Taipu (PB)";"82626"
"São Sebastião de Lagoa de Roça (PB)";"105791"
"São Sebastião do Umbuzeiro (PB)";"40405"
"Sapé (PB)";"675778"
"São Vicente do Seridó (PB)";"89888"
"Serra Branca (PB)";"147662"
"Serra da Raiz (PB)";"37034"
"Serra Grande (PB)";"33183"
"Serra Redonda (PB)";"71218"
"Serraria (PB)";"67690"
"Sertãozinho (PB)";"54676"
"Sobrado (PB)";"112659"
"Solânea (PB)";"353078"
"Soledade (PB)";"203480"
"Sossêgo (PB)";"38719"
"Sousa (PB)";"1318529"
"Sumé (PB)";"200877"
"Tacima (PB)";"91696"
"Taperoá (PB)";"139192"
"Tavares (PB)";"139900"
"Teixeira (PB)";"169085"
"Tenório (PB)";"34478"
"Triunfo (PB)";"87468"
"Uiraúna (PB)";"192520"
"Umbuzeiro (PB)";"91142"
"Várzea (PB)";"37561"
"Vieirópolis (PB)";"52689"
"Zabelê (PB)";"26961"
"Abreu e Lima (PE)";"1724258"
"Afogados da Ingazeira (PE)";"541816"
"Afrânio (PE)";"209815"
"Agrestina (PE)";"352858"
"Água Preta (PE)";"259866"
"Águas Belas (PE)";"401111"
"Alagoinha (PE)";"144945"
"Aliança (PE)";"413314"
"Altinho (PE)";"222589"
"Amaraji (PE)";"294407"
"Angelim (PE)";"142260"
"Araçoiaba (PE)";"161884"
"Araripina (PE)";"1272092"
"Arcoverde (PE)";"1215383"
"Barra de Guabiraba (PE)";"146943"
"Barreiros (PE)";"503988"
"Belém de Maria (PE)";"99499"
"Belém do São Francisco (PE)";"366293"
"Belo Jardim (PE)";"2765036"
"Betânia (PE)";"105307"
"Bezerros (PE)";"962826"
"Bodocó (PE)";"317010"
"Bom Conselho (PE)";"643151"
"Bom Jardim (PE)";"366988"
"Bonito (PE)";"539340"
"Brejão (PE)";"183679"
"Brejinho (PE)";"83879"
"Brejo da Madre de Deus (PE)";"461357"
"Buenos Aires (PE)";"133152"
"Buíque (PE)";"549015"
"Cabo de Santo Agostinho (PE)";"13706389"
"Cabrobó (PE)";"440863"
"Cachoeirinha (PE)";"254369"
"Caetés (PE)";"423727"
"Calçado (PE)";"115299"
"Calumbi (PE)";"50300"
"Camaragibe (PE)";"2229680"
"Camocim de São Félix (PE)";"181161"
"Camutanga (PE)";"285369"
"Canhotinho (PE)";"253171"
"Capoeiras (PE)";"244054"
"Carnaíba (PE)";"193546"
"Carnaubeira da Penha (PE)";"83423"
"Carpina (PE)";"1744915"
"Caruaru (PE)";"8663525"
"Casinhas (PE)";"101521"
"Catende (PE)";"360566"
"Cedro (PE)";"125401"
"Chã de Alegria (PE)";"168758"
"Chã Grande (PE)";"251193"
"Condado (PE)";"250915"
"Correntes (PE)";"192016"
"Cortês (PE)";"121502"
"Cumaru (PE)";"109260"
"Cupira (PE)";"283576"
"Custódia (PE)";"593880"
"Dormentes (PE)";"246023"
"Escada (PE)";"1306431"
"Exu (PE)";"325117"
"Feira Nova (PE)";"247550"
"Fernando de Noronha (PE)";"229562"
"Ferreiros (PE)";"132503"
"Flores (PE)";"192902"
"Floresta (PE)";"445213"
"Frei Miguelinho (PE)";"131441"
"Gameleira (PE)";"274258"
"Garanhuns (PE)";"3077112"
"Glória do Goitá (PE)";"554616"
"Goiana (PE)";"10662964"
"Granito (PE)";"78432"
"Gravatá (PE)";"1359681"
"Iati (PE)";"195800"
"Ibimirim (PE)";"330119"
"Ibirajuba (PE)";"85527"
"Igarassu (PE)";"3471427"
"Iguaracy (PE)";"112369"
"Inajá (PE)";"196880"
"Ingazeira (PE)";"50497"
"Ipojuca (PE)";"14929346"
"Ipubi (PE)";"340374"
"Itacuruba (PE)";"71286"
"Itaíba (PE)";"283413"
"Ilha de Itamaracá (PE)";"299232"
