,Cidade,UF,Região,População,Pib
958,DOM SILVERIO,MG,Sudeste,5228.0,5228.0
959,DOM VICOSO,MG,Sudeste,3095.0,3095.0
960,DOMINGOS MOURAO,PI,Nordeste,4075.0,4075.0
961,DONA EMMA,SC,Sul,4221.0,4221.0
962,DONA EUZEBIA,MG,Sudeste,6093.0,6093.0
963,DONA FRANCISCA,RS,Sul,3079.0,3079.0
964,DONA INES,PB,Nordeste,10380.0,10380.0
965,DORES DE CAMPOS,MG,Sudeste,10007.0,10007.0
966,DORES DE GUANHAES,MG,Sudeste,5029.0,5029.0
967,DORES DO INDAIA,MG,Sudeste,12630.0,12630.0
968,DORESOPOLIS,MG,Sudeste,1461.0,1461.0
969,DORMENTES,PE,Nordeste,17188.0,17188.0
970,DOURADINA,MS,Centro-Oeste,5578.0,5578.0
971,DOURADOQUARA,MG,Sudeste,1829.0,1829.0
972,DOUTOR MAURICIO CARDOSO,RS,Sul,4470.0,4470.0
973,DOUTOR PEDRINHO,SC,Sul,3637.0,3637.0
974,DOUTOR RICARDO,RS,Sul,1888.0,1888.0
975,DOUTOR SEVERIANO,RN,Nordeste,7044.0,7044.0
976,DOUTOR ULYSSES,PR,Sul,5697.0,5697.0
977,DOVERLANDIA,GO,Centro-Oeste,6956.0,6956.0
978,DRACENA,SP,Sudeste,45474.0,45474.0
979,DUARTINA,SP,Sudeste,12328.0,12328.0
980,DUAS BARRAS,RJ,Sudeste,10980.0,10980.0
981,DUAS ESTRADAS,PB,Nordeste,3327.0,3327.0
982,DUERE,TO,Norte,4248.0,4248.0
983,DUQUE BACELAR,MA,Nordeste,10223.0,10223.0
984,DURANDE,MG,Sudeste,7817.0,7817.0
985,EDEALINA,GO,Centro-Oeste,4001.0,4001.0
986,EDEIA,GO,Centro-Oeste,11747.0,11747.0
987,EIRUNEPE,AM,Norte,33170.0,33170.0
988,ELDORADO,MS,Centro-Oeste,11386.0,11386.0
989,ELDORADO,SP,Sudeste,13069.0,13069.0
990,ELDORADO DO CARAJAS,PA,Norte,28192.0,28192.0
991,ELISEU MARTINS,PI,Nordeste,4377.0,4377.0
992,ELISIO MEDRADO,BA,Nordeste,7808.0,7808.0
993,ELOI MENDES,MG,Sudeste,26336.0,26336.0
994,EMAS,PB,Nordeste,3011.0,3011.0
995,EMILIANOPOLIS,SP,Sudeste,3014.0,3014.0
996,ENCANTADO,RS,Sul,22962.0,22962.0
997,ENCANTO,RN,Nordeste,6016.0,6016.0
998,ENGENHEIRO CALDAS,MG,Sudeste,13622.0,13622.0
999,ENGENHEIRO NAVARRO,MG,Sudeste,6354.0,6354.0
1000,ENGENHEIRO PAULO DE FRONTIN,RJ,Sudeste,12242.0,12242.0
1001,ENGENHO VELHO,RS,Sul,1296.0,1296.0
1002,ENTRE RIOS,SC,Sul,3402.0,3402.0
1003,ENTRE RIOS DE MINAS,MG,Sudeste,14746.0,14746.0
1004,ENTRE RIOS DO OESTE,PR,Sul,4575.0,4575.0
1005,ENTRE RIOS DO SUL,RS,Sul,2685.0,2685.0
1006,ENTRE,IJUIS - RS,Desconhecido,9158.0,9158.0
1007,ENVIRA,AM,Norte,17186.0,17186.0
1008,EQUADOR,RN,Nordeste,5360.0,5360.0
1009,EREBANGO,RS,Sul,3054.0,3054.0
1010,ERERE,CE,Nordeste,6474.0,6474.0
1011,ERICO CARDOSO,BA,Nordeste,10604.0,10604.0
1012,ERMO,SC,Sul,2269.0,2269.0
1013,ERNESTINA,RS,Sul,3034.0,3034.0
