,Cidade,UF,Região,População,Pib
1302,IGARATINGA,MG,Sudeste,10830.0,10830.0
1303,IGRAPIUNA,BA,Nordeste,13151.0,13151.0
1304,IGREJA NOVA,AL,Nordeste,21372.0,21372.0
1305,IGUAI,BA,Nordeste,21491.0,21491.0
1306,IGUARACY,PE,Nordeste,11081.0,11081.0
1307,IGUATAMA,MG,Sudeste,6826.0,6826.0
1308,IGUATU,CE,Nordeste,98064.0,98064.0
1309,IGUATU,PR,Sul,2144.0,2144.0
1310,IJACI,MG,Sudeste,7003.0,7003.0
1311,IJUI,RS,Sul,84780.0,84780.0
1312,ILHA COMPRIDA,SP,Sudeste,13419.0,13419.0
1313,ILHA DAS FLORES,SE,Nordeste,8321.0,8321.0
1314,ILHA DE ITAMARACA,PE,Nordeste,24540.0,24540.0
1315,ILHA GRANDE,PI,Nordeste,9274.0,9274.0
1316,ILHOTA,SC,Sul,17046.0,17046.0
1317,ILOPOLIS,RS,Sul,4157.0,4157.0
1318,IMACULADA,PB,Nordeste,10392.0,10392.0
1319,IMARUI,SC,Sul,11881.0,11881.0
1320,IMBAU,PR,Sul,14249.0,14249.0
1321,IMBE DE MINAS,MG,Sudeste,6986.0,6986.0
1322,IMBITUBA,SC,Sul,52579.0,52579.0
1323,IMBITUVA,PR,Sul,29924.0,29924.0
1324,IMBUIA,SC,Sul,5982.0,5982.0
1325,IMIGRANTE,RS,Sul,3080.0,3080.0
1326,INACIO MARTINS,PR,Sul,9670.0,9670.0
1327,INAJA,PE,Nordeste,25603.0,25603.0
1328,INAJA,PR,Sul,2536.0,2536.0
1329,INCONFIDENTES,MG,Sudeste,7301.0,7301.0
1330,INDAIABIRA,MG,Sudeste,6346.0,6346.0
1331,INDEPENDENCIA,CE,Nordeste,24024.0,24024.0
1332,INDEPENDENCIA,RS,Sul,6427.0,6427.0
1333,INDIANA,SP,Sudeste,5090.0,5090.0
1334,INDIANOPOLIS,MG,Sudeste,6171.0,6171.0
1335,INDIAROBA,SE,Nordeste,16549.0,16549.0
1336,INDIAVAI,MT,Centro-Oeste,2213.0,2213.0
1337,INGAI,MG,Sudeste,2580.0,2580.0
1338,INGAZEIRA,PE,Nordeste,4765.0,4765.0
1339,INHACORA,RS,Sul,2014.0,2014.0
1340,INHANGAPI,PA,Norte,10325.0,10325.0
1341,INHAPIM,MG,Sudeste,22692.0,22692.0
1342,INHAUMA,MG,Sudeste,6239.0,6239.0
1343,INHUMA,PI,Nordeste,14958.0,14958.0
1344,INIMUTABA,MG,Sudeste,7371.0,7371.0
1345,INUBIA PAULISTA,SP,Sudeste,3615.0,3615.0
1346,IOMERE,SC,Sul,2877.0,2877.0
1347,IPABA,MG,Sudeste,17136.0,17136.0
1348,IPANEMA,MG,Sudeste,19522.0,19522.0
1349,IPANGUACU,RN,Nordeste,14131.0,14131.0
1350,IPAPORANGA,CE,Nordeste,11575.0,11575.0
1351,IPAUMIRIM,CE,Nordeste,12083.0,12083.0
1352,IPAUSSU,SP,Sudeste,13712.0,13712.0
1353,IPE,RS,Sul,5399.0,5399.0
1354,IPIACU,MG,Sudeste,3775.0,3775.0
1355,IPIRA,SC,Sul,4578.0,4578.0
1356,IPIRANGA,PR,Sul,14142.0,14142.0
1357,IPIRANGA DE GOIAS,GO,Centro-Oeste,2919.0,2919.0
1358,IPIRANGA DO PIAUI,PI,Nordeste,9420.0,9420.0
1359,IPIRANGA DO SUL,RS,Sul,1720.0,1720.0
1360,IPIXUNA,AM,Norte,24311.0,24311.0
1361,IPIXUNA DO PARA,PA,Norte,30329.0,30329.0
1362,IPORA,PR,Sul,15746.0,15746.0
1363,IPORA DO OESTE,SC,Sul,9335.0,9335.0
1364,IPORANGA,SP,Sudeste,4046.0,4046.0
1365,IPU,CE,Nordeste,41081.0,41081.0
1366,IPUACU,SC,Sul,7730.0,7730.0
1367,IPUBI,PE,Nordeste,29009.0,29009.0
1368,IPUEIRA,RN,Nordeste,2035.0,2035.0
1369,IPUEIRAS,CE,Nordeste,36798.0,36798.0
1370,IPUEIRAS,TO,Norte,1590.0,1590.0
1371,IPUIUNA,MG,Sudeste,9135.0,9135.0
1372,IPUMIRIM,SC,Sul,7816.0,7816.0
1373,IPUPIARA,BA,Nordeste,9935.0,9935.0
1374,IRACEMA,RR,Norte,10023.0,10023.0
1375,IRACEMA DO OESTE,PR,Sul,2343.0,2343.0
1376,IRACEMINHA,SC,Sul,3986.0,3986.0
1377,IRAI DE MINAS,MG,Sudeste,7180.0,7180.0
1378,IRAJUBA,BA,Nordeste,6101.0,6101.0
1379,IRAMAIA,BA,Nordeste,10752.0,10752.0
1380,IRANDUBA,AM,Norte,61163.0,61163.0
1381,IRAPUA,SP,Sudeste,6867.0,6867.0
1382,IRARA,BA,Nordeste,28043.0,28043.0
1383,IRATI,SC,Sul,2069.0,2069.0
1384,IRAUCUBA,CE,Nordeste,23915.0,23915.0
1385,IRINEOPOLIS,SC,Sul,10285.0,10285.0
1386,IRITUIA,PA,Norte,30955.0,30955.0
1387,IRUPI,ES,Sudeste,13710.0,13710.0
1388,ISAIAS COELHO,PI,Nordeste,7774.0,7774.0
1389,ISRAELANDIA,GO,Centro-Oeste,2560.0,2560.0
1390,ITA,SC,Sul,7067.0,7067.0
1391,ITAARA,RS,Sul,5572.0,5572.0
1392,ITABAIANA,PB,Nordeste,23182.0,23182.0
1393,ITABAIANINHA,SE,Nordeste,40678.0,40678.0
1394,ITABERA,SP,Sudeste,17983.0,17983.0
1395,ITABI,SE,Nordeste,4745.0,4745.0
1396,ITABIRA,MG,Sudeste,113343.0,113343.0
1397,ITABIRITO,MG,Sudeste,53365.0,53365.0
1398,ITACAMBIRA,MG,Sudeste,4252.0,4252.0
1399,ITACARAMBI,MG,Sudeste,17208.0,17208.0
1400,ITACOATIARA,AM,Norte,103598.0,103598.0
1401,ITACURUBA,PE,Nordeste,4284.0,4284.0
1402,ITACURUBI,RS,Sul,2995.0,2995.0
1403,ITAETE,BA,Nordeste,13472.0,13472.0
1404,ITAGIBA,BA,Nordeste,15310.0,15310.0
1405,ITAGUACU DA BAHIA,BA,Nordeste,12311.0,12311.0
1406,ITAGUARA,MG,Sudeste,13846.0,13846.0
1407,ITAGUARI,GO,Centro-Oeste,4963.0,4963.0
1408,ITAGUATINS,TO,Norte,5172.0,5172.0
1409,ITAIBA,PE,Nordeste,32650.0,32650.0
1410,ITAICABA,CE,Nordeste,7536.0,7536.0
1411,ITAINOPOLIS,PI,Nordeste,10790.0,10790.0
1412,ITAIPAVA DO GRAJAU,MA,Nordeste,13828.0,13828.0
1413,ITAIPE,MG,Sudeste,10463.0,10463.0
1414,ITAIPULANDIA,PR,Sul,11485.0,11485.0
1415,ITAJA,RN,Nordeste,7292.0,7292.0
1416,ITAJU DO COLONIA,BA,Nordeste,6037.0,6037.0
1417,ITAJUBA,MG,Sudeste,93073.0,93073.0
1418,ITALVA,RJ,Sudeste,14073.0,14073.0
1419,ITAMARANDIBA,MG,Sudeste,32948.0,32948.0
1420,ITAMARATI,AM,Norte,10937.0,10937.0
1421,ITAMARI,BA,Nordeste,7051.0,7051.0
1422,ITAMBARACA,PR,Sul,5908.0,5908.0
1423,ITAMBE,BA,Nordeste,24394.0,24394.0
1424,ITAMBE,PE,Nordeste,34935.0,34935.0
1425,ITAMBE DO MATO DENTRO,MG,Sudeste,2142.0,2142.0
1426,ITAMONTE,MG,Sudeste,14786.0,14786.0
1427,ITANHANDU,MG,Sudeste,15236.0,15236.0
1428,ITAOCA,SP,Sudeste,3422.0,3422.0
1429,ITAOCARA,RJ,Sudeste,22919.0,22919.0
1430,ITAPACI,GO,Centro-Oeste,21087.0,21087.0
1431,ITAPAJE,CE,Nordeste,46426.0,46426.0
1432,ITAPECERICA,MG,Sudeste,21046.0,21046.0
1433,ITAPEJARA DOESTE,PR,Sul,,
1434,ITAPEMA,SC,Sul,75940.0,75940.0
1435,ITAPEMIRIM,ES,Sudeste,39832.0,39832.0
1436,ITAPERUCU,PR,Sul,31217.0,31217.0
1437,ITAPERUNA,RJ,Sudeste,101041.0,101041.0
1438,ITAPETIM,PE,Nordeste,13791.0,13791.0
1439,ITAPIPOCA,CE,Nordeste,131123.0,131123.0
1440,ITAPIRANGA,AM,Norte,10162.0,10162.0
1441,ITAPIRANGA,SC,Sul,16638.0,16638.0
1442,ITAPIRAPUA PAULISTA,SP,Sudeste,4306.0,4306.0
1443,ITAPITANGA,BA,Nordeste,10279.0,10279.0
1444,ITAPIUNA,CE,Nordeste,17841.0,17841.0
1445,ITAPOA,SC,Sul,30750.0,30750.0
1446,ITAPORANGA,PB,Nordeste,23940.0,23940.0
1447,ITAPORANGA,SP,Sudeste,14085.0,14085.0
1448,ITAPOROROCA,PB,Nordeste,18382.0,18382.0
1449,ITAPUCA,RS,Sul,1937.0,1937.0
1450,ITAPURA,SP,Sudeste,3979.0,3979.0
1451,ITAPURANGA,GO,Centro-Oeste,26113.0,26113.0
1452,ITAQUI,RS,Sul,35768.0,35768.0
1453,ITAQUITINGA,PE,Nordeste,16554.0,16554.0
1454,ITARANTIM,BA,Nordeste,17052.0,17052.0
1455,ITARARE,SP,Sudeste,44438.0,44438.0
1456,ITAREMA,CE,Nordeste,42957.0,42957.0
1457,ITARIRI,SP,Sudeste,15528.0,15528.0
1458,ITARUMA,GO,Centro-Oeste,6101.0,6101.0
1459,ITATI,RS,Sul,2638.0,2638.0
1460,ITATIAIUCU,MG,Sudeste,12966.0,12966.0
1461,ITATIBA DO SUL,RS,Sul,3208.0,3208.0
1462,ITATIRA,CE,Nordeste,20424.0,20424.0
1463,ITATUBA,PB,Nordeste,10499.0,10499.0
1464,ITAU DE MINAS,MG,Sudeste,14406.0,14406.0
1465,ITAUBAL,AP,Norte,5599.0,5599.0
1466,ITAUCU,GO,Centro-Oeste,7736.0,7736.0
1467,ITAUNA,MG,Sudeste,97669.0,97669.0
1468,ITAUNA DO SUL,PR,Sul,3572.0,3572.0
1469,ITAVERAVA,MG,Sudeste,5642.0,5642.0
1470,ITIRAPUA,SP,Sudeste,5779.0,5779.0
1471,ITUACU,BA,Nordeste,17914.0,17914.0
1472,ITUMIRIM,MG,Sudeste,6638.0,6638.0
1473,ITUPIRANGA,PA,Norte,49754.0,49754.0
1474,ITUPORANGA,SC,Sul,26525.0,26525.0
1475,ITUTINGA,MG,Sudeste,4217.0,4217.0
1476,IUIU,BA,Nordeste,11118.0,11118.0
1477,IUNA,ES,Sudeste,28590.0,28590.0
1478,IVATUBA,PR,Sul,2708.0,2708.0
1479,IVOLANDIA,GO,Centro-Oeste,2693.0,2693.0
1480,IVORA,RS,Sul,1929.0,1929.0
1481,JABORA,SC,Sul,4310.0,4310.0
1482,JABOTI,PR,Sul,5427.0,5427.0
1483,JABOTICABA,RS,Sul,3779.0,3779.0
1484,JABOTICATUBAS,MG,Sudeste,20406.0,20406.0
1485,JACANA,RN,Nordeste,7834.0,7834.0
1486,JACARACI,BA,Nordeste,14436.0,14436.0
1487,JACARAU,PB,Nordeste,14477.0,14477.0
1488,JACAREACANGA,PA,Norte,24042.0,24042.0
1489,JACINTO,MG,Sudeste,11042.0,11042.0
1490,JACINTO MACHADO,SC,Sul,10624.0,10624.0
1491,JACOBINA DO PIAUI,PI,Nordeste,5613.0,5613.0
1492,JACUIPE,AL,Nordeste,5352.0,5352.0
1493,JACUIZINHO,RS,Sul,2040.0,2040.0
1494,JACUNDA,PA,Norte,37707.0,37707.0
1495,JACUPIRANGA,SP,Sudeste,16097.0,16097.0
1496,JACUTINGA,RS,Sul,3338.0,3338.0
1497,JAGUARACU,MG,Sudeste,3092.0,3092.0
1498,JAGUARETAMA,CE,Nordeste,17232.0,17232.0
1499,JAGUARIAIVA,PR,Sul,35141.0,35141.0
1500,JAGUARIBARA,CE,Nordeste,10356.0,10356.0
1501,JAGUARIBE,CE,Nordeste,33726.0,33726.0
1502,JAGUARIPE,BA,Nordeste,17659.0,17659.0
1503,JAGUARUANA,CE,Nordeste,31701.0,31701.0
1504,JAGUARUNA,SC,Sul,20375.0,20375.0
1505,JAIBA,MG,Sudeste,37660.0,37660.0
1506,JAICOS,PI,Nordeste,17527.0,17527.0
1507,JAMBEIRO,SP,Sudeste,6397.0,6397.0
1508,JAMPRUCA,MG,Sudeste,4296.0,4296.0
1509,JANAUBA,MG,Sudeste,70699.0,70699.0
1510,JANDAIRA,RN,Nordeste,6562.0,6562.0
1511,JANDUIS,RN,Nordeste,4746.0,4746.0
1512,JANUARIO CICCO,RN,Nordeste,9051.0,9051.0
1513,JAPARAIBA,MG,Sudeste,4506.0,4506.0
1514,JAPARATINGA,AL,Nordeste,9219.0,9219.0
1515,JAPARATUBA,SE,Nordeste,16209.0,16209.0
1516,JAPI,RN,Nordeste,5117.0,5117.0
1517,JAPOATA,SE,Nordeste,13407.0,13407.0
1518,JAPONVAR,MG,Sudeste,8127.0,8127.0
1519,JAPORA,MS,Centro-Oeste,8148.0,8148.0
1520,JAPURA,AM,Norte,8858.0,8858.0
1521,JAPURA,PR,Sul,9144.0,9144.0
1522,JAQUEIRA,PE,Nordeste,10247.0,10247.0
1523,JAQUIRANA,RS,Sul,3690.0,3690.0
1524,JARDIM,CE,Nordeste,27411.0,27411.0
1525,JARDIM DE ANGICOS,RN,Nordeste,2437.0,2437.0
1526,JARDIM DE PIRANHAS,RN,Nordeste,13977.0,13977.0
1527,JARDIM DO MULATO,PI,Nordeste,4180.0,4180.0
1528,JARDIM OLINDA,PR,Sul,1343.0,1343.0
1529,JARDINOPOLIS,SC,Sul,1776.0,1776.0
1530,JARI,RS,Sul,3349.0,3349.0
1531,JATEI,MS,Centro-Oeste,3586.0,3586.0
1532,JATI,CE,Nordeste,7861.0,7861.0
1533,JATOBA,PE,Nordeste,14020.0,14020.0
1534,JATOBA DO PIAUI,PI,Nordeste,4494.0,4494.0
1535,JAU DO TOCANTINS,TO,Norte,3334.0,3334.0
1536,JAUPACI,GO,Centro-Oeste,2924.0,2924.0
1537,JECEABA,MG,Sudeste,6197.0,6197.0
1538,JENIPAPO DE MINAS,MG,Sudeste,6100.0,6100.0
1539,JENIPAPO DOS VIEIRAS,MA,Nordeste,17076.0,17076.0
1540,JEQUERI,MG,Sudeste,12419.0,12419.0
1541,JEQUITAI,MG,Sudeste,6484.0,6484.0
1542,JEQUITIBA,MG,Sudeste,5883.0,5883.0
1543,JEQUITINHONHA,MG,Sudeste,24007.0,24007.0
1544,JERICO,PB,Nordeste,7516.0,7516.0
1545,JERIQUARA,SP,Sudeste,3863.0,3863.0
1546,JERONIMO MONTEIRO,ES,Sudeste,11575.0,11575.0
1547,JERUMENHA,PI,Nordeste,4497.0,4497.0
1548,JESUANIA,MG,Sudeste,5138.0,5138.0
1549,JESUITAS,PR,Sul,10506.0,10506.0
1550,JESUPOLIS,GO,Centro-Oeste,2123.0,2123.0
1551,JIJOCA DE JERICOACOARA,CE,Nordeste,25555.0,25555.0
1552,JITAUNA,BA,Nordeste,14355.0,14355.0
1553,JOAIMA,MG,Sudeste,13888.0,13888.0
1554,JOANESIA,MG,Sudeste,4329.0,4329.0
1555,JOAO ALFREDO,PE,Nordeste,27725.0,27725.0
1556,JOAO CAMARA,RN,Nordeste,33290.0,33290.0
1557,JOAO DIAS,RN,Nordeste,2076.0,2076.0
1558,JOAO MONLEVADE,MG,Sudeste,80187.0,80187.0
1559,JOAO RAMALHO,SP,Sudeste,4371.0,4371.0
1560,JOAQUIM FELICIO,MG,Sudeste,3854.0,3854.0
1561,JOAQUIM GOMES,AL,Nordeste,17150.0,17150.0
1562,JOAQUIM NABUCO,PE,Nordeste,13269.0,13269.0
1563,JOAQUIM PIRES,PI,Nordeste,13886.0,13886.0
1564,JOAQUIM TAVORA,PR,Sul,11945.0,11945.0
1565,JOCA CLAUDINO,PB,Nordeste,2539.0,2539.0
1566,JOCA MARQUES,PI,Nordeste,5394.0,5394.0
1567,JORDANIA,MG,Sudeste,10304.0,10304.0
1568,JORDAO,AC,Norte,9222.0,9222.0
1569,JOSE BOITEUX,SC,Sul,5985.0,5985.0
1570,JOSE DA PENHA,RN,Nordeste,5803.0,5803.0
1571,JOSE DE FREITAS,PI,Nordeste,42559.0,42559.0
1572,JOSE GONCALVES DE MINAS,MG,Sudeste,3969.0,3969.0
1573,JOSELANDIA,MA,Nordeste,14924.0,14924.0
1574,JOSENOPOLIS,MG,Sudeste,3630.0,3630.0
1575,JOVIANIA,GO,Centro-Oeste,7159.0,7159.0
1576,JUAREZ TAVORA,PB,Nordeste,7796.0,7796.0
1577,JUARINA,TO,Norte,2243.0,2243.0
1578,JUAZEIRINHO,PB,Nordeste,17007.0,17007.0
1579,JUAZEIRO DO PIAUI,PI,Nordeste,5214.0,5214.0
1580,JUCAS,CE,Nordeste,23922.0,23922.0
1581,JUCATI,PE,Nordeste,11517.0,11517.0
1582,JUCURUCU,BA,Nordeste,9655.0,9655.0
1583,JULIO BORGES,PI,Nordeste,5388.0,5388.0
1584,JULIO DE CASTILHOS,RS,Sul,18226.0,18226.0
1585,JULIO MESQUITA,SP,Sudeste,4254.0,4254.0
1586,JUNCO DO MARANHAO,MA,Nordeste,5146.0,5146.0
1587,JUNCO DO SERIDO,PB,Nordeste,6793.0,6793.0
1588,JUNDIA,AL,Nordeste,4092.0,4092.0
1589,JUNDIA,RN,Nordeste,3739.0,3739.0
1590,JUNDIAI DO SUL,PR,Sul,3333.0,3333.0
1591,JUPIA,SC,Sul,2555.0,2555.0
1592,JUQUIA,SP,Sudeste,17154.0,17154.0
1593,JURAMENTO,MG,Sudeste,3768.0,3768.0
1594,JURIPIRANGA,PB,Nordeste,10012.0,10012.0
1595,JURU,PB,Nordeste,9234.0,9234.0
1596,JURUA,AM,Norte,10742.0,10742.0
1597,JURUAIA,MG,Sudeste,11084.0,11084.0
1598,JURUTI,PA,Norte,50881.0,50881.0
1599,JUSSARA,BA,Nordeste,16354.0,16354.0
1600,JUSSARA,GO,Centro-Oeste,19620.0,19620.0
1601,JUSSARA,PR,Sul,6690.0,6690.0
1602,JUSSARI,BA,Nordeste,5888.0,5888.0
1603,JUTAI,AM,Norte,25172.0,25172.0
1604,JUVENILIA,MG,Sudeste,5789.0,5789.0
1605,LACERDOPOLIS,SC,Sul,2248.0,2248.0
1606,LADAINHA,MG,Sudeste,14383.0,14383.0
1607,LAGAMAR,MG,Sudeste,6631.0,6631.0
1608,LAGO DO JUNCO,MA,Nordeste,9506.0,9506.0
1609,LAGO DOS RODRIGUES,MA,Nordeste,8758.0,8758.0
1610,LAGO VERDE,MA,Nordeste,14769.0,14769.0
1611,LAGOA,PB,Nordeste,4415.0,4415.0
1612,LAGOA ALEGRE,PI,Nordeste,8256.0,8256.0
1613,LAGOA BONITA DO SUL,RS,Sul,2251.0,2251.0
1614,LAGOA DANTA,RN,Nordeste,,
1615,LAGOA DE DENTRO,PB,Nordeste,7819.0,7819.0
1616,LAGOA DE ITAENGA,PE,Nordeste,19003.0,19003.0
1617,LAGOA DE PEDRAS,RN,Nordeste,7338.0,7338.0
1618,LAGOA DE SAO FRANCISCO,PI,Nordeste,6331.0,6331.0
1619,LAGOA DE VELHOS,RN,Nordeste,2567.0,2567.0
1620,LAGOA DO BARRO DO PIAUI,PI,Nordeste,4995.0,4995.0
1621,LAGOA DO MATO,MA,Nordeste,10572.0,10572.0
1622,LAGOA DO OURO,PE,Nordeste,11933.0,11933.0
1623,LAGOA DO PIAUI,PI,Nordeste,4810.0,4810.0
1624,LAGOA DO SITIO,PI,Nordeste,4520.0,4520.0
1625,LAGOA DOS PATOS,MG,Sudeste,3313.0,3313.0
1626,LAGOA DOS TRES CANTOS,RS,Sul,1738.0,1738.0
1627,LAGOA DOURADA,MG,Sudeste,12769.0,12769.0
1628,LAGOA FORMOSA,MG,Sudeste,18904.0,18904.0
1629,LAGOA GRANDE,MG,Sudeste,8969.0,8969.0
1630,LAGOA GRANDE,PE,Nordeste,24088.0,24088.0
1631,LAGOA GRANDE DO MARANHAO,MA,Nordeste,11411.0,11411.0
1632,LAGOA REAL,BA,Nordeste,14105.0,14105.0
1633,LAGOA SALGADA,RN,Nordeste,8319.0,8319.0
1634,LAGOA SANTA,GO,Centro-Oeste,1390.0,1390.0
1635,LAGOAO,RS,Sul,5341.0,5341.0
1636,LAGOINHA,SP,Sudeste,5083.0,5083.0
1637,LAGOINHA DO PIAUI,PI,Nordeste,2939.0,2939.0
1638,LAJE,BA,Nordeste,21052.0,21052.0
1639,LAJEADO,TO,Norte,3357.0,3357.0
1640,LAJEADO DO BUGRE,RS,Sul,2601.0,2601.0
1641,LAJEADO GRANDE,SC,Sul,1702.0,1702.0
1642,LAJEADO NOVO,MA,Nordeste,7057.0,7057.0
1643,LAJEDINHO,BA,Nordeste,3527.0,3527.0
1644,LAJEDO DO TABOCAL,BA,Nordeste,7494.0,7494.0
1645,LAJES,RN,Nordeste,9866.0,9866.0
1646,LAJES PINTADAS,RN,Nordeste,4787.0,4787.0
1647,LAJINHA,MG,Sudeste,20835.0,20835.0
1648,LAMARAO,BA,Nordeste,9015.0,9015.0
1649,LAMBARI,MG,Sudeste,20414.0,20414.0
1650,LAMIM,MG,Sudeste,3184.0,3184.0
1651,LANDRI SALES,PI,Nordeste,5213.0,5213.0
1652,LAPA,PR,Sul,45003.0,45003.0
1653,LAPAO,BA,Nordeste,25736.0,25736.0
1654,LARANJAL,PR,Sul,5600.0,5600.0
1655,LARANJAL DO JARI,AP,Norte,35114.0,35114.0
1656,LASSANCE,MG,Sudeste,7124.0,7124.0
1657,LASTRO,PB,Nordeste,3162.0,3162.0
1658,LAURENTINO,SC,Sul,7932.0,7932.0
1659,LAURO MÜLLER,SC,Sul,14381.0,14381.0
1660,LAVANDEIRA,TO,Norte,1626.0,1626.0
1661,LAVINIA,SP,Sudeste,9689.0,9689.0
1662,LAVRAS DA MANGABEIRA,CE,Nordeste,30802.0,30802.0
1663,LAVRINHAS,SP,Sudeste,7171.0,7171.0
1664,LEANDRO FERREIRA,MG,Sudeste,3199.0,3199.0
1665,LEME DO PRADO,MG,Sudeste,4341.0,4341.0
1666,LENCOIS,BA,Nordeste,10774.0,10774.0
1667,LEOBERTO LEAL,SC,Sul,3330.0,3330.0
1668,LEOPOLDO DE BULHOES,GO,Centro-Oeste,8745.0,8745.0
1669,LEOPOLIS,PR,Sul,3752.0,3752.0
1670,LIBERATO SALZANO,RS,Sul,4781.0,4781.0
1671,LIBERDADE,MG,Sudeste,4737.0,4737.0
1672,LIDIANOPOLIS,PR,Sul,3938.0,3938.0
1673,LIMA CAMPOS,MA,Nordeste,11297.0,11297.0
1674,LIMA DUARTE,MG,Sudeste,17221.0,17221.0
1675,LIMOEIRO DO NORTE,CE,Nordeste,59560.0,59560.0
1676,LINDOESTE,PR,Sul,5175.0,5175.0
1677,LINDOIA,SP,Sudeste,7014.0,7014.0
1678,LINDOIA DO SUL,SC,Sul,4549.0,4549.0
1679,LINHA NOVA,RS,Sul,1683.0,1683.0
1680,LIVRAMENTO,PB,Nordeste,6877.0,6877.0
1681,LIZARDA,TO,Norte,2999.0,2999.0
1682,LOBATO,PR,Sul,4601.0,4601.0
1683,LOGRADOURO,PB,Nordeste,4797.0,4797.0
1684,LONTRA,MG,Sudeste,8790.0,8790.0
1685,LONTRAS,SC,Sul,12873.0,12873.0
1686,LORETO,MA,Nordeste,11597.0,11597.0
1687,LUCENA,PB,Nordeste,12560.0,12560.0
1688,LUCIANOPOLIS,SP,Sudeste,2372.0,2372.0
1689,LUCRECIA,RN,Nordeste,3490.0,3490.0
1690,LUIS CORREIA,PI,Nordeste,30641.0,30641.0
1691,LUIS DOMINGUES,MA,Nordeste,7161.0,7161.0
1692,LUIS GOMES,RN,Nordeste,9070.0,9070.0
1693,LUISBURGO,MG,Sudeste,6956.0,6956.0
1694,LUISLANDIA,MG,Sudeste,6210.0,6210.0
1695,LUIZ ALVES,SC,Sul,11684.0,11684.0
1696,LUIZIANA,PR,Sul,6690.0,6690.0
1697,LUIZIANIA,SP,Sudeste,4701.0,4701.0
1698,LUMINARIAS,MG,Sudeste,5586.0,5586.0
1699,LUTECIA,SP,Sudeste,2661.0,2661.0
1700,LUZ,MG,Sudeste,17875.0,17875.0
1701,LUZERNA,SC,Sul,5794.0,5794.0
1702,LUZINOPOLIS,TO,Norte,2717.0,2717.0
1703,MACAJUBA,BA,Nordeste,10454.0,10454.0
1704,MACAMBARA,RS,Sul,4425.0,4425.0
1705,MACAMBIRA,SE,Nordeste,6838.0,6838.0
1706,MACAPARANA,PE,Nordeste,23879.0,23879.0
1707,MACAU,RN,Nordeste,27369.0,27369.0
1708,MACAUBAS,BA,Nordeste,41859.0,41859.0
1709,MACHACALIS,MG,Sudeste,6487.0,6487.0
1710,MACHADINHO,RS,Sul,5735.0,5735.0
1711,MACIEIRA,SC,Sul,1778.0,1778.0
1712,MACUCO,RJ,Sudeste,5415.0,5415.0
1713,MACURURE,BA,Nordeste,7256.0,7256.0
1714,MADALENA,CE,Nordeste,16896.0,16896.0
1715,MADEIRO,PI,Nordeste,8032.0,8032.0
1716,MAE DAGUA,PB,Nordeste,,
1717,MAFRA,SC,Sul,55286.0,55286.0
1718,MAGALHAES BARATA,PA,Norte,8115.0,8115.0
1719,MAGDA,SP,Sudeste,3165.0,3165.0
1720,MAIRI,BA,Nordeste,17674.0,17674.0
1721,MAIRIPOTABA,GO,Centro-Oeste,2561.0,2561.0
1722,MAJOR GERCINO,SC,Sul,3214.0,3214.0
1723,MAJOR SALES,RN,Nordeste,3924.0,3924.0
1724,MAJOR VIEIRA,SC,Sul,7425.0,7425.0
1725,MALACACHETA,MG,Sudeste,17516.0,17516.0
1726,MALHADA,BA,Nordeste,15398.0,15398.0
1727,MALHADA DE PEDRAS,BA,Nordeste,8670.0,8670.0
1728,MALHADA DOS BOIS,SE,Nordeste,3579.0,3579.0
1729,MALHADOR,SE,Nordeste,11533.0,11533.0
1730,MALTA,PB,Nordeste,6046.0,6046.0
1731,MAMANGUAPE,PB,Nordeste,44599.0,44599.0
1732,MAMBAI,GO,Centro-Oeste,8124.0,8124.0
1733,MAMBORE,PR,Sul,13452.0,13452.0
1734,MAMONAS,MG,Sudeste,5997.0,5997.0
1735,MAMPITUBA,RS,Sul,3131.0,3131.0
1736,MANAIRA,PB,Nordeste,10434.0,10434.0
1737,MANAQUIRI,AM,Norte,17107.0,17107.0
1738,MANARI,PE,Nordeste,23763.0,23763.0
1739,MANFRINOPOLIS,PR,Sul,2770.0,2770.0
1740,MANGA,MG,Sudeste,18886.0,18886.0
1741,MANGUEIRINHA,PR,Sul,16603.0,16603.0
1742,MANHUACU,MG,Sudeste,91886.0,91886.0
1743,MANICORE,AM,Norte,53914.0,53914.0
1744,MANOEL EMIDIO,PI,Nordeste,5209.0,5209.0
1745,MANOEL URBANO,AC,Norte,11996.0,11996.0
1746,MANOEL VITORINO,BA,Nordeste,13860.0,13860.0
1747,MANSIDAO,BA,Nordeste,13919.0,13919.0
1748,MANTENA,MG,Sudeste,26535.0,26535.0
1749,MANTENOPOLIS,ES,Sudeste,12770.0,12770.0
1750,MAR DE ESPANHA,MG,Sudeste,12721.0,12721.0
1751,MARA ROSA,GO,Centro-Oeste,10700.0,10700.0
1752,MARAA,AM,Norte,15529.0,15529.0
1753,MARABA PAULISTA,SP,Sudeste,4573.0,4573.0
1754,MARACACUME,MA,Nordeste,21149.0,21149.0
1755,MARACAI,SP,Sudeste,12673.0,12673.0
1756,MARACAJA,SC,Sul,7815.0,7815.0
1757,MARACANA,PA,Norte,25971.0,25971.0
1758,MARAGOGIPE,BA,Nordeste,35859.0,35859.0
1759,MARAIAL,PE,Nordeste,9359.0,9359.0
1760,MARAJA DO SENA,MA,Nordeste,7027.0,7027.0
